DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2013-06-21	23470693	Zeng Z	2013-03-07	J Dent Res	www.ncbi.nlm.nih.gov/pubmed/23470693	Genome-wide association studies of pit-and-fissure- and smooth-surface caries in permanent dentition.	Pit-and-Fissure caries	996 European ancestry individuals		6p25.3	6	577820	NR	EXOC2			ENSG00000112685			rs9504361-G	rs9504361	0	9504361	intron_variant	0	0.4504	6E-6	5.221848749616356		1.156	[NR] unit increase	Illumina [1200000] (imputed)	N	pit and fissure surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006338	GCST001897	Genome-wide genotyping array
2013-06-21	23470693	Zeng Z	2013-03-07	J Dent Res	www.ncbi.nlm.nih.gov/pubmed/23470693	Genome-wide association studies of pit-and-fissure- and smooth-surface caries in permanent dentition.	Pit-and-Fissure caries	996 European ancestry individuals		22q12.3	22	36803762	NR	PVALB			ENSG00000100362			rs2022068-A	rs2022068	0	2022068	intron_variant	0	0.3926	7E-6	5.154901959985743		1.1831	[NR] unit increase	Illumina [1200000] (imputed)	N	pit and fissure surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006338	GCST001897	Genome-wide genotyping array
2013-06-21	23470693	Zeng Z	2013-03-07	J Dent Res	www.ncbi.nlm.nih.gov/pubmed/23470693	Genome-wide association studies of pit-and-fissure- and smooth-surface caries in permanent dentition.	Pit-and-Fissure caries	996 European ancestry individuals		Xp11.4	X	40026377	BCOR	AC092198.1 - BCOR	ENSG00000223486	ENSG00000183337		14195	23438	rs17145638-C	rs17145638	0	17145638	intergenic_variant	1	0.1169	2E-7	6.698970004336019		2.329	[NR] unit decrease	Illumina [1200000] (imputed)	N	pit and fissure surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006338	GCST001897	Genome-wide genotyping array
2013-06-21	23470693	Zeng Z	2013-03-07	J Dent Res	www.ncbi.nlm.nih.gov/pubmed/23470693	Genome-wide association studies of pit-and-fissure- and smooth-surface caries in permanent dentition.	Pit-and-Fissure caries	996 European ancestry individuals		7p14.1	7	41772310	INHBA-AS1, INHBA	INHBA-AS1			ENSG00000224116			rs10486722-C	rs10486722	0	10486722	intron_variant	0	0.3349	7E-6	5.154901959985743		1.215	[NR] unit increase	Illumina [1200000] (imputed)	N	pit and fissure surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006338	GCST001897	Genome-wide genotyping array
2013-06-21	23470693	Zeng Z	2013-03-07	J Dent Res	www.ncbi.nlm.nih.gov/pubmed/23470693	Genome-wide association studies of pit-and-fissure- and smooth-surface caries in permanent dentition.	Pit-and-Fissure caries	996 European ancestry individuals		3p14.2	3	60016099	NR	FHIT			ENSG00000189283			rs9311745-C	rs9311745	0	9311745	intron_variant	0	0.0466	5E-6	5.301029995663981		2.9914	[NR] unit increase	Illumina [1200000] (imputed)	N	pit and fissure surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006338	GCST001897	Genome-wide genotyping array
2013-06-21	23470693	Zeng Z	2013-03-07	J Dent Res	www.ncbi.nlm.nih.gov/pubmed/23470693	Genome-wide association studies of pit-and-fissure- and smooth-surface caries in permanent dentition.	Pit-and-Fissure caries	996 European ancestry individuals		9q21.11	9	68856996	NR	PIP5K1B			ENSG00000107242			rs6560397-T	rs6560397	0	6560397	intron_variant	0	0.4671	2E-7	6.698970004336019		1.289	[NR] unit decrease	Illumina [1200000] (imputed)	N	pit and fissure surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006338	GCST001897	Genome-wide genotyping array
2013-06-21	23470693	Zeng Z	2013-03-07	J Dent Res	www.ncbi.nlm.nih.gov/pubmed/23470693	Genome-wide association studies of pit-and-fissure- and smooth-surface caries in permanent dentition.	Pit-and-Fissure caries	996 European ancestry individuals		8q21.3	8	89198871	intergenic	AC090578.1 - RPSAP74	ENSG00000253553	ENSG00000253621		311298	44530	rs2046315-T	rs2046315	0	2046315	intergenic_variant	1	0.1322	7E-7	6.154901959985743		1.871	[NR] unit increase	Illumina [1200000] (imputed)	N	pit and fissure surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006338	GCST001897	Genome-wide genotyping array
2013-06-21	23470693	Zeng Z	2013-03-07	J Dent Res	www.ncbi.nlm.nih.gov/pubmed/23470693	Genome-wide association studies of pit-and-fissure- and smooth-surface caries in permanent dentition.	Pit-and-Fissure caries	996 European ancestry individuals		3q21.3	3	128563854	NR	AC080005.1			ENSG00000286806			rs6806253-A	rs6806253	0	6806253	non_coding_transcript_exon_variant	0	0.8295	6E-6	5.221848749616356		1.5595	[NR] unit decrease	Illumina [1200000] (imputed)	N	pit and fissure surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006338	GCST001897	Genome-wide genotyping array
2015-05-23	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Pit-and-Fissure caries	979 European ancestry individuals	NA	18q12.2	18	38618768	intergenic	AC108452.1 - AC100781.1	ENSG00000286716	ENSG00000268566		626355	36441	rs11082098-A	rs11082098	0	11082098	intergenic_variant	1	0.0558	3E-7	6.522878745280337		1.032	[NR] unit increase	Illumina [1216074] (imputed)	N	pit and fissure surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006338	GCST002358	Genome-wide genotyping array
2015-05-23	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Pit-and-Fissure caries	979 European ancestry individuals	NA	Xq26.2	X	134211258	CCDC160	LARP1BP3 - CCDC160	ENSG00000232664	ENSG00000203952		5342	25789	rs12850804-T	rs12850804	0	12850804	intergenic_variant	1	0.1345	2E-6	5.698970004336019		0.7501	[NR] unit increase	Illumina [1216074] (imputed)	N	pit and fissure surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006338	GCST002358	Genome-wide genotyping array
